idx;RT BICEPS FEM_REAL;RT BICEPS FEM_VR;RT MED GASTRO_REAL;RT MED GASTRO_VR;RT VLO_REAL;RT VLO_VR
1;37.77682636752973;43.71423331204545;155.23940450212856;108.15558734727855;;
2;23.469678042603988;36.54840229081893;122.73313672550492;112.29899695972365;;
3;26.26022561886165;43.316845858328925;101.69849217595015;112.31907266761479;;
4;54.074066495839865;48.7129466707857;131.17325970558724;99.22621178244788;;
5;25.72487675130325;29.71809650848044;111.03446386602765;103.90811480443496;;
6;46.743684312639665;23.484060858054534;119.1786501510452;100.38088433345624;;
7;22.519330111674527;21.053760218603774;112.61894888149273;87.39474540652083;;
8;30.167064650110092;32.978912605277785;91.98643198396138;100.03120462301113;;
9;17.50393023393873;75.56145820074957;105.16952207772874;79.08906218996538;;
10;26.819450899265497;50.941402466657834;91.77825854462822;120.72754521606038;;
11;31.047819984913133;23.283163922162764;110.75180764161941;143.04525841811494;;
12;31.067512950381253;29.275494212393916;109.67522781402137;101.34268445558243;;
